Date,Time,Cabin_Temperature,Outside_Air_Ambient_Temp,Drift_Flag,Temp_Diff
2025-01-01,00:00:00,24.993428306022466,27.528193539084,0,-2.5347652330615347
2025-01-01,00:29:22.040816,23.72347139765763,27.84267164565244,0,-4.1192002479948115
2025-01-01,00:58:44.081632,25.295377076201383,36.14943628735778,0,-10.854059211156397
2025-01-01,01:28:06.122448,27.04605971281605,30.002048456872448,0,-2.9559887440563983
2025-01-01,01:57:28.163265,23.531693250553328,32.346390004594376,0,-8.814696754041048
2025-01-01,02:26:50.204081,23.53172608610164,27.62730185499734,0,-4.095575768895703
2025-01-01,02:56:12.244897,27.158425631014783,27.660441161335083,0,-0.5020155303202998
2025-01-01,03:25:34.285714,25.534869458305817,33.24595442774983,0,-7.711084969444013
2025-01-01,03:54:56.326530,23.061051228130097,25.951271365345406,0,-2.8902201372153087
2025-01-01,04:24:18.367346,25.08512008717193,28.754358696284186,0,-3.6692386091122557
2025-01-01,04:53:40.408163,23.073164614375074,30.102082233216695,0,-7.028917618841621
2025-01-01,05:23:02.448979,23.068540492859487,30.334117805520158,0,-7.265577312660671
2025-01-01,05:52:24.489795,24.48392454313207,29.462720144951533,0,-4.9787956018194635
2025-01-01,06:21:46.530612,20.173439510684403,31.18745934328777,0,-11.014019832603367
2025-01-01,06:51:08.571428,20.550164334973935,32.07856726745344,0,-11.528402932479501
2025-01-01,07:20:30.612244,22.875424941518055,32.20391263637799,0,-9.328487694859938
2025-01-01,07:49:52.653061,21.974337759331153,27.042588573996518,0,-5.068250814665365
2025-01-01,08:19:14.693877,24.628494665190548,29.14753470621361,0,-4.519040041023061
2025-01-01,08:48:36.734693,22.183951848957577,33.584288585630816,0,-11.400336736673239
2025-01-01,09:17:58.775510,21.175392597329417,32.683941562721614,0,-11.508548965392198
2025-01-01,09:47:20.816326,26.931297537843108,25.88142164555681,0,1.0498758922862983
2025-01-01,10:16:42.857142,23.54844739902693,31.054439701056605,0,-7.505992302029675
2025-01-01,10:46:04.897959,24.13505640937585,24.06532425187557,0,0.06973215750027961
2025-01-01,11:15:26.938775,21.150503627573087,30.140804706181108,0,-8.99030107860802
2025-01-01,11:44:48.979591,22.911234550949636,35.693301050237935,0,-12.782066499288298
2025-01-01,12:14:11.020408,24.22184517941973,27.15632184819304,0,-2.9344766687733106
2025-01-01,12:43:33.061224,21.698012845155393,27.497030863525254,0,-5.7990180183698605
2025-01-01,13:12:55.102040,24.751396036691343,32.292089344718576,0,-7.540693308027233
2025-01-01,13:42:17.142857,22.79872262016239,25.37159545437106,0,-2.5728728342086704
2025-01-01,14:11:39.183673,23.416612500413446,28.101734910344884,0,-4.685122409931438
2025-01-01,14:41:01.224489,22.796586775541208,31.789323412745258,0,-8.99273663720405
2025-01-01,15:10:23.265306,27.704556369017876,28.097142456931792,0,-0.3925860879139158
2025-01-01,15:39:45.306122,23.97300555052413,29.292090038367085,0,-5.319084487842954
2025-01-01,16:09:07.346938,21.8845781420882,32.2325571309451,0,-10.347978988856905
2025-01-01,16:38:29.387755,25.645089824206377,31.264638250609686,0,-5.619548426403309
2025-01-01,17:07:51.428571,21.558312700057954,30.800455188886204,0,-9.24214248882825
2025-01-01,17:37:13.469387,24.41772719000951,28.982633162189885,0,-4.564905972180373
2025-01-01,18:06:35.510204,20.08065975224045,31.110183345806867,0,-11.029523593566417
2025-01-01,18:35:57.551020,21.34362790220314,29.62880195970073,0,-8.285174057497592
2025-01-01,19:05:19.591836,24.393722471738247,31.373416829777355,0,-6.979694358039108
